pref,year,emp.rate,cap.rate,age,age.hus,emp.rate.hus,urate,nuc.rate,numhh,hh.type
群馬県,2005,0.463526935,0.345261312,32.92514635,35.27435375,0.973886733,0.056581216,0.802836301,15203,3ge
埼玉県,2005,0.368005586,0.183720272,33.1351975,35.65515985,0.970033701,0.056878277,0.878492708,32937,3ge
千葉県,2005,0.429168081,0.212548266,32.94329372,35.51120543,0.965874363,0.056080439,0.870944108,29450,3ge
東京都,2005,0.389611984,0.279053606,33.89935331,36.771611,0.945604126,0.056472415,0.939178528,24432,3ge
神奈川県,2005,0.343571318,0.165440328,33.57046824,36.27754597,0.964804512,0.054645412,0.923571327,25884,3ge
新潟県,2005,0.637672168,0.501967983,32.91931381,35.24109691,0.981108078,0.048131096,0.613048302,32236,3ge
富山県,2005,0.633499644,0.530039294,32.71596579,34.94832502,0.98339273,0.04399232,0.652812577,14030,3ge
石川県,2005,0.650698424,0.605225594,32.84213825,35.18633596,0.976450573,0.047081515,0.747606828,11168,3ge
福井県,2005,0.657693644,0.545674398,33.05722473,35.39310524,0.982980201,0.04243507,0.626726187,11516,3ge
山梨県,2005,0.496329757,0.44599689,33.6798419,36.30053642,0.973461321,0.053459709,0.780285723,7084,3ge
長野県,2005,0.491382358,0.492373937,33.60398621,36.18287078,0.978433799,0.046046524,0.727277061,22628,3ge
岐阜県,2005,0.454470842,0.390976608,32.99913607,35.42548596,0.977883369,0.048213424,0.710463998,23150,3ge
静岡県,2005,0.443250559,0.230461066,33.09852775,35.59044831,0.980360744,0.045543465,0.749259194,36203,3ge
愛知県,2005,0.428012502,0.340059714,33.00060711,35.55665235,0.975288377,0.045902995,0.850565817,44473,3ge
三重県,2005,0.473188882,0.384702166,32.63690085,35.13817757,0.973809003,0.047215708,0.802947606,13707,3ge
滋賀県,2005,0.446283597,0.288095663,32.97067865,35.48269883,0.974934973,0.047236476,0.781893074,12687,3ge
京都府,2005,0.464418087,0.357926325,33.48767606,36.02798369,0.959414381,0.06031223,0.883361323,10792,3ge
大阪府,2005,0.354143833,0.25510366,33.20963662,35.74799764,0.944650535,0.086093109,0.926263208,23722,3ge
兵庫県,2005,0.421043999,0.244426866,33.24185017,35.74851355,0.965473408,0.06530066,0.884710979,24387,3ge
奈良県,2005,0.346297009,0.308773888,33.44140675,36.0636632,0.961879091,0.066228635,0.846199985,7791,3ge
和歌山県,2005,0.409130511,0.445970379,32.89824011,35.28018819,0.963930998,0.063445895,0.835025094,5739,3ge
鳥取県,2005,0.648336153,0.532072032,32.70431472,35.04850536,0.971235195,0.055243271,0.660920897,7092,3ge
島根県,2005,0.662433618,0.471070835,32.87970446,35.2169245,0.977718772,0.044425164,0.648230088,8662,3ge
岡山県,2005,0.506802468,0.356265564,32.53155899,34.90052784,0.967734741,0.052752396,0.809346107,13451,3ge
広島県,2005,0.511653624,0.361461756,32.66519224,35.22048316,0.965124192,0.049534545,0.888448655,11756,3ge
山口県,2005,0.480605183,0.343326638,32.52068244,35.04200869,0.967326573,0.050517997,0.872526636,6213,3ge
徳島県,2005,0.528240898,0.408057065,32.55290915,34.92531473,0.952875128,0.072985714,0.777201299,5878,3ge
香川県,2005,0.532769205,0.371884785,32.39571926,34.80902605,0.964327194,0.060638599,0.834826488,6027,3ge
愛媛県,2005,0.465528671,0.350795488,32.46652304,34.83974147,0.953264833,0.063737175,0.877905249,6034,3ge
高知県,2005,0.59975632,0.60154627,32.48583613,35.03076454,0.940298507,0.079150838,0.86678796,3283,3ge
